,top50_scores,top25_scores,top10_scores
lh_entorhinal_thicknessstd,0.0,0.0,0.0
lh_fusiform_thicknessstd,0.0,0.0,0.0
lh_inferiorparietal_thicknessstd,0.0,0.0,0.0
lh_inferiortemporal_thicknessstd,0.0,0.0,0.0
lh_isthmuscingulate_thicknessstd,0.0,0.0,0.0
lh_lateraloccipital_thicknessstd,0.0,0.0,0.0
lh_lateralorbitofrontal_thicknessstd,0.0,0.0,0.0
lh_lingual_thicknessstd,3.0,3.0,0.0
lh_medialorbitofrontal_thicknessstd,0.0,0.0,0.0
lh_parahippocampal_thicknessstd,0.0,0.0,0.0
lh_superiorparietal_thicknessstd,0.0,0.0,0.0
lh_paracentral_thicknessstd,0.0,0.0,0.0
lh_parsopercularis_thicknessstd,6.0,0.0,0.0
lh_parsorbitalis_thicknessstd,0.0,0.0,0.0
lh_parstriangularis_thicknessstd,0.0,0.0,0.0
lh_pericalcarine_thicknessstd,0.0,0.0,0.0
lh_postcentral_thicknessstd,0.0,0.0,0.0
lh_posteriorcingulate_thicknessstd,0.0,0.0,0.0
lh_precentral_thicknessstd,0.0,0.0,0.0
lh_precuneus_thicknessstd,0.0,0.0,0.0
lh_rostralanteriorcingulate_thicknessstd,0.0,0.0,0.0
lh_rostralmiddlefrontal_thicknessstd,6.0,6.0,0.0
lh_superiorfrontal_thicknessstd,0.0,0.0,0.0
rh_G_oc.temp_lat.fusifor_thickness,0.0,0.0,0.0
rh_G_cuneus_thickness,0.0,0.0,0.0
rh_G_occipital_middle_thickness,0.0,0.0,0.0
lh_S_precentral.sup.part_thickness,6.0,6.0,0.0
lh_Pole_temporal_thickness,0.0,0.0,0.0
lh_S_calcarine_thickness,0.0,0.0,0.0
lh_S_central_thickness,0.0,0.0,0.0
lh_S_cingul.Marginalis_thickness,0.0,0.0,0.0
lh_S_circular_insula_ant_thickness,0.0,0.0,0.0
lh_S_circular_insula_inf_thickness,3.0,0.0,0.0
lh_S_circular_insula_sup_thickness,6.0,0.0,0.0
lh_S_collat_transv_ant_thickness,0.0,0.0,0.0
